prob_0,prob_1,predicted_class,set,date,true_y
0.64970434,0.3502957,0,train,1982-06-10,0
0.94608516,0.05391488,0,test,1982-06-11,0
0.9442518,0.055748206,0,train,1982-06-12,0
0.98298484,0.017015152,0,test,1982-06-13,0
0.9859139,0.014086117,0,train,1982-06-14,0
0.404713,0.59528697,1,train,1982-06-15,1
0.7142139,0.28578615,0,train,1982-06-16,0
0.96720964,0.032790408,0,train,1982-06-17,0
0.93928903,0.06071098,0,train,1982-06-18,0
0.9633956,0.03660442,0,train,1982-06-19,0
0.94508696,0.054913044,0,train,1982-06-20,0
0.9570561,0.04294387,0,train,1982-06-21,0
0.9832575,0.016742496,0,test,1982-06-22,0
0.98928493,0.010715063,0,train,1982-06-23,0
0.9503193,0.04968068,0,test,1982-06-24,0
0.78821373,0.21178627,0,train,1982-06-25,0
0.71827555,0.28172445,0,train,1982-06-26,0
0.6858042,0.31419584,0,train,1982-06-27,0
0.8682716,0.13172846,0,train,1982-06-28,0
0.9542475,0.04575251,0,train,1982-06-29,0
0.9867975,0.013202435,0,train,1982-06-30,0
0.9679327,0.03206727,0,test,1982-07-01,0
0.5715974,0.4284026,0,train,1982-07-02,0
0.3030914,0.6969086,1,test,1982-07-03,0
0.9221656,0.07783444,0,train,1982-07-04,0
0.7542705,0.24572948,0,test,1982-07-05,0
0.1897334,0.81026655,1,test,1982-07-06,0
0.37865642,0.62134355,1,train,1982-07-07,0
0.97083575,0.029164296,0,train,1982-07-08,0
0.85239357,0.14760637,0,test,1982-07-09,0
